camera,filename,radius,config,margin_inner_px,margin_outer_px,inner_frac,outer_frac,raw_erf,raw_int_var,raw_bg_var,raw_int_max,flat_erf,flat_int_var,flat_bg_var,flat_int_max,erf_delta,erf_pct,int_var_reduction,bg_var_reduction
g,sphere1080g_crop.png,49,prop_14pct,6,6,0.12244897959183673,0.12244897959183673,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.6879996163086388,0.0,0.0,0.0,1.2338212114938438,271.6600345621831,1.0,1.0
g,sphere1080g_crop.png,49,prop_20pct,9,9,0.1836734693877551,0.1836734693877551,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.6013470714343696,0.0,0.0,0.0,1.1471686666195746,252.58106824505833,1.0,1.0
g,sphere1080g_crop.png,49,prop_30pct,14,14,0.2857142857142857,0.2857142857142857,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.4726870322888843,0.0,0.0,0.0,1.0185086274740893,224.25298443888303,1.0,1.0
g,sphere1080g_crop.png,49,asym_in5_out14,2,6,0.04081632653061224,0.12244897959183673,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.680968659964429,0.0,0.0,0.0,1.226790255149634,270.11197409306476,1.0,1.0
g,sphere1080g_crop.png,49,asym_in8_out14,3,6,0.061224489795918366,0.12244897959183673,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.686247628918129,0.0,0.0,0.0,1.232069224103334,271.2742858405493,1.0,1.0
g,sphere1080g_crop.png,49,asym_in5_out20,2,9,0.04081632653061224,0.1836734693877551,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.5997765798163355,0.0,0.0,0.0,1.1455981750015405,252.23528086252645,1.0,1.0
g,sphere1080g_crop.png,49,asym_in10_out20,4,9,0.08163265306122448,0.1836734693877551,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.6058415757006919,0.0,0.0,0.0,1.1516631708858969,253.57065828691756,1.0,1.0
g,sphere1080g_crop.png,49,asym_in14_out5,6,2,0.12244897959183673,0.04081632653061224,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.7578611738569778,0.0,0.0,0.0,1.3036827690421828,287.04199830324364,1.0,1.0
g,sphere1080g_crop.png,49,asym_in20_out8,9,3,0.1836734693877551,0.061224489795918366,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.7808061539788504,0.0,0.0,0.0,1.3266277491640555,292.0939734475108,1.0,1.0
g,sphere1080g_crop.png,49,asym_in14_out8,6,3,0.12244897959183673,0.061224489795918366,0.454178404814795,0.04872298985719681,0.007700158283114433,0.8509804010391235,1.7865895259469027,0.0,0.0,0.0,1.3324111211321077,293.3673435388102,1.0,1.0
