camera,filename,config,det_source,flat_geom,radius,eccentricity,m_in,m_out,test_type,sigma_target,kernel_applied,native_sigma,measured,error_pct,int_var,int_max
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,quadrature,6.0,5.928171080666143,0.9256282398207255,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,quadrature,8.0,7.946270342849303,0.9256282398207255,9.284827552431299,16.060344405391234,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,quadrature,10.0,9.95706846223558,0.9256282398207255,11.187832459541433,11.878324595414327,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,quadrature,12.0,11.964247254284174,0.9256282398207255,13.106173821430447,9.21811517858706,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,2.2038120696542194,2.0,0.9256282398207255,2.6062060417691715,18.25899665655648,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,4.105701844795067,4.0,0.9256282398207255,5.047850260422532,22.947316956828168,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,6.070979133414446,6.0,0.9256282398207255,0.0,-100.0,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,8.053371197104576,8.0,0.9256282398207255,9.335843028236795,15.924658130663401,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,10.042748012289943,10.0,0.9256282398207255,11.228425049150255,11.80630077952095,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 14% of radius,contour,distmap,104,0.9764860994287722,14,14,fixed_kernel,12.035646540105505,12.0,0.9256282398207255,13.140473701285035,9.179624522022939,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,quadrature,2.0,1.8077224399404432,0.8556515529909186,2.1958343025699953,9.791715128499767,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,quadrature,4.0,3.907410961220259,0.8556515529909186,4.453737347902541,11.34343369756352,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,quadrature,6.0,5.938674971731003,0.8556515529909186,6.809312772060217,13.488546201003615,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,quadrature,8.0,7.954109656012056,0.8556515529909186,9.016808462671186,12.710105783389825,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,quadrature,10.0,9.96332577103972,0.8556515529909186,11.131663923188334,11.316639231883343,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,quadrature,12.0,11.969455310074233,0.8556515529909186,13.145319524102085,9.544329367517376,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,fixed_kernel,2.1753481514773148,2.0,0.8556515529909186,2.3939768360131026,10.050284796358392,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,fixed_kernel,4.090493806392545,4.0,0.8556515529909186,4.559828925503316,11.473800996283215,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,fixed_kernel,6.060704544864052,6.0,0.8556515529909186,6.877062845141264,13.469693073373929,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,fixed_kernel,8.045628600683465,8.0,0.8556515529909186,9.066517771554588,12.688743434967911,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,fixed_kernel,10.036540219624278,10.0,0.8556515529909186,11.169229566751234,11.285655438437114,0.0,0.0
v,sphere0086v_crop.png,ContourDistMap 20% of radius,contour,distmap,104,0.9764860994287722,20,20,fixed_kernel,12.030467138899294,12.0,0.8556515529909186,13.175818504286532,9.52042304063041,0.0,0.0
