camera,filename,config,radius,m_in,m_out,margin_as_pct_of_R,test_type,sigma_target,kernel_applied,native_sigma,measured,error_pct,int_var,int_max
g,sphere1015g_crop.png,25% of radius,41,10,10,24.390243902439025,fixed_kernel,10.229607787255963,8.0,6.375333362349599,11.070837748851972,8.223482063936135,0.0,0.0
g,sphere1015g_crop.png,25% of radius,41,10,10,24.390243902439025,fixed_kernel,11.85937921988701,10.0,6.375333362349599,12.691611122927528,7.017499715709792,0.0,0.0
g,sphere1015g_crop.png,25% of radius,41,10,10,24.390243902439025,fixed_kernel,13.588409600872643,12.0,6.375333362349599,14.485763580653055,6.603819035031035,0.0,0.0
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,quadrature,2.0,1.9307837250653457,0.5216073303000904,1.3660301067969414,-31.69849466015293,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,quadrature,4.0,3.9658449027889646,0.5216073303000904,2.5623145303111308,-35.942136742221734,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,quadrature,6.0,5.977284148589325,0.5216073303000904,3.609100498337111,-39.848325027714814,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,quadrature,8.0,7.982977251187505,0.5216073303000904,4.34398544668464,-45.700181916442,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,quadrature,10.0,9.986387023993073,0.5216073303000904,5.682239841898317,-43.17760158101682,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,quadrature,12.0,11.988658214870304,0.5216073303000904,7.291161719994527,-39.24031900004561,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,fixed_kernel,2.06689966060832,2.0,0.5216073303000904,1.407246449375711,-31.915105692090677,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,fixed_kernel,4.033865913366827,4.0,0.5216073303000904,2.582974415746164,-35.9677671192023,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,fixed_kernel,6.022630173522428,6.0,0.5216073303000904,3.6230344908408365,-39.84298576444303,0.04569622501730919,0.8588235378265381
g,sphere0834g_crop.png,Raw (no flattening),40,0,0,0.0,fixed_kernel,8.016986603894432,8.0,0.5216073303000904,4.354584479006537,-45.68302662634862,0.04569622501730919,0.8588235378265381
