crop_path,filename,folder,laplacian_var,tenengrad,tenengrad_var,brenner,norm_laplacian,energy_gradient
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0148v_crop.png,sphere0148v_crop.png,10mm-borosilicate-1,229.42332010288538,705727778.0,7492.790224902099,24215483.0,0.02291857441219668,15939538.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0149v_crop.png,sphere0149v_crop.png,10mm-borosilicate-1,233.17147167577585,701971180.0,7446.087330655739,24233291.0,0.02348242442309454,15951545.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-1\sphere0150v_crop.png,sphere0150v_crop.png,10mm-borosilicate-1,215.4615347671269,684992992.0,7251.188445155088,23332994.0,0.021605497210643126,15314849.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0151v_crop.png,sphere0151v_crop.png,10mm-borosilicate-2,240.6834911098011,720507164.0,7650.734532010667,24898477.0,0.023634932549683078,16403254.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0152v_crop.png,sphere0152v_crop.png,10mm-borosilicate-2,232.08313496679315,709462974.0,7522.742662418965,24369965.0,0.023066384584403608,16049700.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0153v_crop.png,sphere0153v_crop.png,10mm-borosilicate-2,228.78642893497891,702497288.0,7452.892792817619,24162385.0,0.022718345316559717,15873164.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0154v_crop.png,sphere0154v_crop.png,10mm-borosilicate-2,216.76000699745924,681470292.0,7223.737668382947,22887146.0,0.02173389864592225,15294007.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0155v_crop.png,sphere0155v_crop.png,10mm-borosilicate-2,223.01424088430016,703274914.0,7459.654516665458,23689761.0,0.021670872492270097,15769778.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0156v_crop.png,sphere0156v_crop.png,10mm-borosilicate-2,231.26253820574163,705581110.0,7484.361028947688,23888148.0,0.022756467120617394,15966515.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0157v_crop.png,sphere0157v_crop.png,10mm-borosilicate-2,233.84191609397155,708833308.0,7529.341331474867,23896300.0,0.022860514147920112,16073673.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0158v_crop.png,sphere0158v_crop.png,10mm-borosilicate-2,237.01725518348925,717028746.0,7607.272228178704,24246722.0,0.022827987832540135,16269026.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0159v_crop.png,sphere0159v_crop.png,10mm-borosilicate-2,234.46421232149322,711457090.0,7553.884464409322,24085695.0,0.02298817473458272,16126521.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0160v_crop.png,sphere0160v_crop.png,10mm-borosilicate-2,233.1395749206193,712243944.0,7564.924247533031,24737168.0,0.023498016020519857,16118685.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0161v_crop.png,sphere0161v_crop.png,10mm-borosilicate-2,218.1668870008491,698091924.0,7393.805025753054,24050432.0,0.02190813034163046,15589676.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0162v_crop.png,sphere0162v_crop.png,10mm-borosilicate-2,238.03817722561396,720148218.0,7648.050221003445,24988571.0,0.023811111382227374,16343660.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0163v_crop.png,sphere0163v_crop.png,10mm-borosilicate-2,231.0567948230349,704101012.0,7472.07013886889,24575865.0,0.023559078876275102,15934642.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0164v_crop.png,sphere0164v_crop.png,10mm-borosilicate-2,227.16244519388758,697154064.0,7399.490284858916,24223912.0,0.023291134866879535,15755165.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0165v_crop.png,sphere0165v_crop.png,10mm-borosilicate-2,231.0289468840157,702260874.0,7448.09011382185,23714853.0,0.022705909843174617,15916648.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0166v_crop.png,sphere0166v_crop.png,10mm-borosilicate-2,230.88623041690389,710294610.0,7531.102046032475,23904383.0,0.022341940530182316,16040668.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0167v_crop.png,sphere0167v_crop.png,10mm-borosilicate-2,226.60748000296348,702819456.0,7456.7877525324775,23765168.0,0.022007065663530553,15827024.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0168v_crop.png,sphere0168v_crop.png,10mm-borosilicate-2,226.0332513283402,707390870.0,7504.284612906592,23795843.0,0.021907037897636077,15893705.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0169v_crop.png,sphere0169v_crop.png,10mm-borosilicate-2,221.29608215720842,693705382.0,7354.1798137831165,23940974.0,0.021610856912142592,15589317.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0170v_crop.png,sphere0170v_crop.png,10mm-borosilicate-2,234.92463704621005,708614834.0,7514.365571671966,24582711.0,0.022926893710015255,16093406.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0171v_crop.png,sphere0171v_crop.png,10mm-borosilicate-2,238.26178691591866,721086206.0,7650.702730437232,24930527.0,0.023101015266479268,16361102.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0172v_crop.png,sphere0172v_crop.png,10mm-borosilicate-2,234.75822380852603,714696566.0,7578.426903706954,24800184.0,0.02290743982338438,16186728.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0173v_crop.png,sphere0173v_crop.png,10mm-borosilicate-2,238.07721182979822,719241064.0,7636.912926655199,24610930.0,0.023120968334738593,16326397.0
C:\Users\justi\Downloads\coursework\testing_4mm\Modular\OUTPUT\10mm-borosilicate-2\sphere0174v_crop.png,sphere0174v_crop.png,10mm-borosilicate-2,226.82252920322895,694571410.0,7366.483443704161,23746781.0,0.022495701042216844,15703601.0
